epoc_time,date_time,distance,velocity
1456267879129,2016-02-23T22:51:19.129Z,5.11851116272,0.25
1456267879426,2016-02-23T22:51:19.426Z,2.6848375825,0.25
1456267879895,2016-02-23T22:51:19.895Z,1.89185214637,0
1456267880150,2016-02-23T22:51:20.150Z,4.49793770611,0.24
1456267880438,2016-02-23T22:51:20.438Z,3.47535680809,0.24
1456267880930,2016-02-23T22:51:20.930Z,1.6399269622,0.23
1456267881158,2016-02-23T22:51:21.158Z,4.14959618832,0.24
1456267881462,2016-02-23T22:51:21.462Z,3.47535680809,0.23
1456267881903,2016-02-23T22:51:21.903Z,1.89185214637,0.25
1456267882137,2016-02-23T22:51:22.137Z,4.14959618832,0.25
1456267882461,2016-02-23T22:51:22.461Z,3.93291864217,0.24
1456267882909,2016-02-23T22:51:22.909Z,1.89185214637,0
1456267883157,2016-02-23T22:51:23.157Z,4.88279627936,0.24
1456267883434,2016-02-23T22:51:23.434Z,3.93291864217,0.25
1456267883928,2016-02-23T22:51:23.928Z,1.89185214637,0
1456267884158,2016-02-23T22:51:24.158Z,4.88279627936,0.24
1456267884463,2016-02-23T22:51:24.463Z,3.93291864217,0.23
1456267884899,2016-02-23T22:51:24.899Z,1.89185214637,0
1456267885148,2016-02-23T22:51:25.148Z,4.88279627936,0.24
1456267885430,2016-02-23T22:51:25.430Z,3.93291864217,0.25
1456267885928,2016-02-23T22:51:25.928Z,1.89185214637,0
1456267886158,2016-02-23T22:51:26.158Z,4.88279627936,0.24
1456267886467,2016-02-23T22:51:26.467Z,3.93291864217,0.02
1456267886917,2016-02-23T22:51:26.917Z,1.89185214637,0
1456267887129,2016-02-23T22:51:27.129Z,5.77995441473,0.25
1456267887441,2016-02-23T22:51:27.441Z,3.93291864217,0
1456267887889,2016-02-23T22:51:27.889Z,1.89185214637,0
1456267888131,2016-02-23T22:51:28.131Z,5.52715265023,0.24
1456267888464,2016-02-23T22:51:28.464Z,3.93291864217,0
1456267888929,2016-02-23T22:51:28.929Z,1.89185214637,0
1456267889121,2016-02-23T22:51:29.121Z,5.52715265023,0.24
1456267889448,2016-02-23T22:51:29.448Z,4.39972648562,0.24
1456267889923,2016-02-23T22:51:29.923Z,1.89185214637,0
1456267890142,2016-02-23T22:51:30.142Z,5.52715265023,0.24
1456267890456,2016-02-23T22:51:30.456Z,3.77198158101,0.24
1456267890892,2016-02-23T22:51:30.892Z,1.89185214637,0
1456267891143,2016-02-23T22:51:31.143Z,4.99196036825,0.24
1456267891463,2016-02-23T22:51:31.463Z,3.77198158101,0.24
1456267891902,2016-02-23T22:51:31.902Z,1.89185214637,0
1456267892139,2016-02-23T22:51:32.139Z,5.52715265023,0.24
1456267892448,2016-02-23T22:51:32.448Z,3.77198158101,0.08
1456267892940,2016-02-23T22:51:32.940Z,1.6399269622,0.23
1456267893149,2016-02-23T22:51:33.149Z,5.11851116272,0.24
1456267893442,2016-02-23T22:51:33.442Z,3.93291864217,0.24
1456267893882,2016-02-23T22:51:33.882Z,2.10934976781,0.25
1456267894140,2016-02-23T22:51:34.140Z,5.11851116272,0.24
1456267894445,2016-02-23T22:51:34.445Z,3.77198158101,0.24
1456267894928,2016-02-23T22:51:34.928Z,1.6399269622,0.23
1456267895160,2016-02-23T22:51:35.160Z,5.72965135272,0.24
1456267895443,2016-02-23T22:51:35.443Z,3.93291864217,0.24
1456267895927,2016-02-23T22:51:35.927Z,2.10934976781,0.24
1456267896137,2016-02-23T22:51:36.137Z,5.28696088536,0.25
1456267896470,2016-02-23T22:51:36.470Z,3.93291864217,0.23
1456267896872,2016-02-23T22:51:36.872Z,2.10934976781,0.25
1456267897129,2016-02-23T22:51:37.129Z,4.88279627936,0.24
1456267897431,2016-02-23T22:51:37.431Z,3.93291864217,0.02
1456267897880,2016-02-23T22:51:37.880Z,2.10934976781,0
1456267898116,2016-02-23T22:51:38.116Z,5.20400840738,0.24
1456267898441,2016-02-23T22:51:38.441Z,3.93291864217,0
1456267898934,2016-02-23T22:51:38.934Z,2.0148479696,0.23
1456267899161,2016-02-23T22:51:39.161Z,6.83364154187,0.23
1456267899464,2016-02-23T22:51:39.464Z,2.19513296682,0.23
1456267899913,2016-02-23T22:51:39.913Z,2.0148479696,0.25
1456267900135,2016-02-23T22:51:40.135Z,5.72965135272,0.25
1456267900448,2016-02-23T22:51:40.448Z,2.19513296682,0.24
1456267900890,2016-02-23T22:51:40.890Z,2.0148479696,0.02
1456267901121,2016-02-23T22:51:41.121Z,5.72965135272,0.24
1456267901463,2016-02-23T22:51:41.463Z,2.6848375825,0.24
1456267901928,2016-02-23T22:51:41.928Z,2.0148479696,0
1456267902144,2016-02-23T22:51:42.144Z,6.83364154187,0.23
1456267902452,2016-02-23T22:51:42.452Z,2.19513296682,0.24
1456267902920,2016-02-23T22:51:42.920Z,2.0148479696,0
1456267903129,2016-02-23T22:51:43.129Z,6.43824167015,0.24
1456267903437,2016-02-23T22:51:43.437Z,2.19513296682,0.24
